,Values,Time
0,5.742959314395035,100
1,5.019889112355768,500
2,4.987469606083789,1000
3,4.918480655755227,5000
4,4.868451366041592,10000
5,4.78396706064528,50000
6,4.782915913571519,100000
7,4.772558309785296,500000
8,4.78685023492384,1000000
9,4.786866360927178,100
10,4.78688718183703,500
11,4.786859771357603,1000
12,4.7869606449278965,5000
13,4.787393036001004,10000
14,4.7869781875614885,50000
15,4.788034882994827,100000
16,4.787698276307866,500000
17,4.7882042842223935,1000000
18,4.788189540972585,100
19,4.788149321169561,500
20,4.788126806953194,1000
21,4.788055330981194,5000
22,4.787600954718203,10000
23,4.787070102106982,50000
24,4.786270075404327,100000
25,4.7846352932355884,500000
26,4.782186455901883,1000000
27,4.782199405990327,100
28,4.782168406325813,500
29,4.782102240425469,1000
30,4.782364257383644,5000
31,4.7825182563788795,10000
32,4.781930043559304,50000
33,4.782545631696834,100000
34,4.7832515181790445,500000
35,4.786456715633027,1000000
36,4.786446656774705,100
37,4.786427339542408,500
38,4.786443324051188,1000
39,4.786396419468826,5000
40,4.786407887542505,10000
41,4.78635057430819,50000
42,4.786467476526783,100000
43,4.786099125292929,500000
44,4.7851267853056445,1000000
