,Arithmetic,Geometric,Control,K,sigma,N,n
0,51.051592226036405,50.10060355352661,20.26640543948617,81.0,0.2,365,10000
1,48.46761575770132,47.40220452586531,20.380827998812386,81.0,0.2,365,10000
2,34.419620505242804,34.13459466607854,19.60044260614064,81.0,0.2,365,10000
3,31.192460018314353,31.07498978044281,19.43288700484792,81.0,0.2,365,10000
4,25.20929300982414,24.586925398834367,19.93778437796615,81.0,0.2,365,10000
5,28.949548178532872,28.82107832560383,19.44388661990542,81.0,0.2,365,10000
6,19.124487578020034,19.01874237154277,19.42116197345364,81.0,0.2,365,10000
7,40.580560561721335,39.52438837183749,20.371588956860226,81.0,0.2,365,10000
8,0.21856352124118422,0.0,19.53398028821756,81.0,0.2,365,10000
9,17.451375844654343,17.085420471553224,19.681372140077496,81.0,0.2,365,10000
10,32.08197649719267,31.820357668206697,19.577035595962347,81.0,0.2,365,10000
11,15.300712120221299,15.134685325687679,19.481443561509995,81.0,0.2,365,10000
12,7.294811129628715,7.173130061754755,19.437097834850338,81.0,0.2,365,10000
13,1.3997475632753649,0.6856398515507617,20.029524478700978,81.0,0.2,365,10000
14,22.659983751391028,22.52869635252752,19.446704165839886,81.0,0.2,365,10000
15,14.834882510045825,14.715847233722744,19.43445204329946,81.0,0.2,365,10000
16,31.04178769706334,30.410062092131714,19.947142371908004,81.0,0.2,365,10000
17,12.167587467090788,12.023273178583706,19.45973105548346,81.0,0.2,365,10000
18,20.75108825189237,20.25047368473327,19.816031334135474,81.0,0.2,365,10000
19,0.0,0.0,19.315416766976377,81.0,0.2,365,10000
20,14.859960325447297,14.595821222725974,19.5795558696977,81.0,0.2,365,10000
21,11.599959000096879,10.64096146788976,20.274414299183494,81.0,0.2,365,10000
22,25.042268539700892,24.345166498560747,20.01251880811652,81.0,0.2,365,10000
23,44.85619268856908,44.02653048458703,20.145078970958426,81.0,0.2,365,10000
24,26.385281656113968,26.291178595870726,19.40951982721962,81.0,0.2,365,10000
25,20.516248606623094,20.379966328020203,19.451699045579264,81.0,0.2,365,10000
26,12.213402475927248,12.114028809883195,19.41479043302043,81.0,0.2,365,10000
27,16.87470222493872,16.644410496126987,19.54570849578811,81.0,0.2,365,10000
28,12.092206348148103,12.0045046660581,19.40311844906638,81.0,0.2,365,10000
29,37.76390480227188,37.40522839716614,19.674093172082117,81.0,0.2,365,10000
30,23.30197028665479,23.141703816667736,19.475683236963427,81.0,0.2,365,10000
31,17.840088684601042,17.659384402027104,19.496121049550315,81.0,0.2,365,10000
32,31.32499006687885,31.230688130504053,19.409718703351174,81.0,0.2,365,10000
33,24.419509610512165,24.12142582132345,19.613500556165093,81.0,0.2,365,10000
