,Arithmetic,Geometric,Control,K,sigma,N
0,199.5964736071174,20.966414355276665,206.7484825979066,71.0,0.2,365
1,199.70725811072586,31.794196085652807,196.03148537113893,71.0,0.2,365
2,199.71482211467202,32.52681068125365,195.30643477948422,71.0,0.2,365
3,199.78126429828504,39.9792277571241,187.92045988722677,71.0,0.2,365
4,199.31837949632327,0.0,227.43680284238914,71.0,0.2,365
5,199.7316406381648,34.20555682288915,193.6445071613415,71.0,0.2,365
6,199.74161740757572,35.39889658031883,192.46114417332274,71.0,0.2,365
7,199.7551331977056,36.88155427366641,190.99200227010502,71.0,0.2,365
8,199.68233728957918,29.22077361015033,198.5799870254947,71.0,0.2,365
9,199.4750536768649,10.387586106014362,217.20589091691636,71.0,0.2,365
10,199.74700586403833,35.96008701723707,191.90534219286712,71.0,0.2,365
11,199.65179843522048,26.04802504577706,201.7221967355093,71.0,0.2,365
12,199.46283091081492,9.202740578558187,218.3785136783226,71.0,0.2,365
13,199.70398291206803,31.492782295406943,196.32962396272694,71.0,0.2,365
14,199.4978514718581,12.070288438777457,215.54598637914648,71.0,0.2,365
15,199.55952651734583,17.4653383008082,210.21261156260348,71.0,0.2,365
16,199.76459888317126,37.98943770006366,189.89358452917344,71.0,0.2,365
17,199.5539696077057,16.907607724582633,210.76478522918893,71.0,0.2,365
18,199.91833119024454,56.559011085449654,171.47774345086071,71.0,0.2,365
19,199.75900188017764,37.36148225099017,190.51594297525332,71.0,0.2,365
20,199.6973944912486,30.686526101381563,197.1292917359329,71.0,0.2,365
21,199.92594645489254,57.62546052038865,170.41890928056972,71.0,0.2,365
22,199.72858825386734,34.14970027334172,193.6973113265915,71.0,0.2,365
23,199.7087858746394,31.89689903121259,195.93031018949264,71.0,0.2,365
24,199.58007836060867,19.34134290577996,208.35715880089455,71.0,0.2,365
25,199.6114389535834,22.29411124727469,205.43575105237457,71.0,0.2,365
26,199.61838150161583,22.82756456317737,204.90924028450434,71.0,0.2,365
27,199.7706167990426,38.57629248653777,189.31274765857071,71.0,0.2,365
28,199.71928107975552,33.02903731842121,194.80866710740017,71.0,0.2,365
29,199.525511972474,14.320600656926834,213.32333466161302,71.0,0.2,365
30,199.5942628417463,20.6427088046329,207.06997738317926,71.0,0.2,365
31,199.58044801951957,19.402537693190443,208.29633367239498,71.0,0.2,365
32,199.5604599908514,17.549526578640883,210.12935675827637,71.0,0.2,365
33,199.64360060565787,25.57425148751262,202.1877724642111,71.0,0.2,365
34,199.52433841580512,14.401638088541942,213.24112367332899,71.0,0.2,365
35,199.74943529430473,36.37972540030969,191.48813324006088,71.0,0.2,365
36,199.6257387830868,23.640572758800882,204.10358937035176,71.0,0.2,365
37,199.64476439409083,25.529782753226716,202.23340498692997,71.0,0.2,365
38,199.57953415837125,19.384969038120527,208.3129884663166,71.0,0.2,365
39,199.56594391038715,17.95847575941624,209.72589149703674,71.0,0.2,365
40,199.73571506152948,34.93176082907188,192.92237757852345,71.0,0.2,365
41,199.60350606103356,21.574110901805753,206.14781850529366,71.0,0.2,365
42,199.80320812768352,42.31349045919071,185.60814101455867,71.0,0.2,365
43,199.63288832211467,24.24885678379882,203.50245488438168,71.0,0.2,365
44,199.84724944372175,47.669318771559254,180.29635401822833,71.0,0.2,365
45,199.79364580612298,41.08302567952593,186.8290434726629,71.0,0.2,365
