,Arithmetic,Geometric,Control,K,sigma,N,n
0,0.0,0.0,5.9630911190600795,99,0.2,365,10000
1,11.05942565150825,10.906448624482026,6.1160681460863024,99,0.2,365,10000
2,16.256132918898704,15.733728300371409,6.485495737587374,99,0.2,365,10000
3,0.0,0.0,5.9630911190600795,99,0.2,365,10000
4,15.215322848460502,14.569162059414776,6.609251908105805,99,0.2,365,10000
5,0.0,0.0,5.9630911190600795,99,0.2,365,10000
6,5.651027715465615,5.215249687695768,6.3988691468299255,99,0.2,365,10000
7,0.059030305991015546,0.0,6.022121425051095,99,0.2,365,10000
8,0.0,0.0,5.9630911190600795,99,0.2,365,10000
9,6.6607601884501655,6.191932160655673,6.431919146854571,99,0.2,365,10000
10,0.0,0.0,5.9630911190600795,99,0.2,365,10000
11,0.0,0.0,5.9630911190600795,99,0.2,365,10000
12,12.832073322895958,12.537256947398905,6.257907494557132,99,0.2,365,10000
13,17.14007870199077,16.55888599677459,6.5442838242762615,99,0.2,365,10000
14,13.018537783636143,12.624618083350976,6.357010819345246,99,0.2,365,10000
15,10.76826344450984,10.459808303583975,6.271546259985943,99,0.2,365,10000
16,3.4339820111609187,3.315042410324506,6.082030719896491,99,0.2,365,10000
17,0.0,0.0,5.9630911190600795,99,0.2,365,10000
18,4.224785289018828,3.657891163756668,6.529985244322239,99,0.2,365,10000
19,12.602044625678982,12.308217687880635,6.256918056858425,99,0.2,365,10000
20,14.642730103599337,14.01701676846086,6.588804454198557,99,0.2,365,10000
21,18.068743298088688,17.18850705773274,6.843327359416025,99,0.2,365,10000
22,0.0,0.0,5.9630911190600795,99,0.2,365,10000
23,8.797878586217047,8.280010520622834,6.480959184654291,99,0.2,365,10000
24,0.0,0.0,5.9630911190600795,99,0.2,365,10000
25,0.0,0.0,5.9630911190600795,99,0.2,365,10000
26,7.322993704680459,6.895389024714034,6.3906957990265045,99,0.2,365,10000
27,4.661888241100563,4.593740344450783,6.031239015709859,99,0.2,365,10000
28,2.696870823289976,1.65167469443193,7.008287247918124,99,0.2,365,10000
29,3.228955909185131,3.0795194744362355,6.112527553808975,99,0.2,365,10000
30,0.1670691887644526,0.07432068006763672,6.055839627756895,99,0.2,365,10000
31,6.398712530835097,6.071022183132548,6.290781466762628,99,0.2,365,10000
32,0.0,0.0,5.9630911190600795,99,0.2,365,10000
33,0.0,0.0,5.9630911190600795,99,0.2,365,10000
34,1.0830248224271912,1.0103893245876936,6.035726616899577,99,0.2,365,10000
35,11.896572686815588,11.571758703679507,6.28790510219616,99,0.2,365,10000
36,0.0,0.0,5.9630911190600795,99,0.2,365,10000
37,29.637515214010335,28.83842101257349,6.7621853204969256,99,0.2,365,10000
38,7.572937082361692,7.46814320666323,6.067884994758541,99,0.2,365,10000
39,0.0,0.0,5.9630911190600795,99,0.2,365,10000
40,0.0,0.0,5.9630911190600795,99,0.2,365,10000
41,4.783963924673127,4.407819326343035,6.339235717390171,99,0.2,365,10000
42,0.0,0.0,5.9630911190600795,99,0.2,365,10000
43,0.0,0.0,5.9630911190600795,99,0.2,365,10000
44,0.0,0.0,5.9630911190600795,99,0.2,365,10000
45,9.461789270517796,8.206275638182873,7.218604751395001,99,0.2,365,10000
46,12.867142338536757,12.623880803643441,6.206352653953394,99,0.2,365,10000
47,23.539761717599973,22.491033009859276,7.011819826800776,99,0.2,365,10000
48,1.4857315954725792,1.4440033632852591,6.0048193512473995,99,0.2,365,10000
49,0.0,0.0,5.9630911190600795,99,0.2,365,10000
50,0.0,0.0,5.9630911190600795,99,0.2,365,10000
51,1.4491863621979206,1.2277237147284128,6.1845537665295875,99,0.2,365,10000
52,0.0,0.0,5.9630911190600795,99,0.2,365,10000
53,0.0,0.0,5.9630911190600795,99,0.2,365,10000
54,1.147031451955744,1.0342069871471682,6.075915583868656,99,0.2,365,10000
55,8.717463672103063,8.243925709416777,6.436629081746363,99,0.2,365,10000
56,4.134059022955783,4.018954368639995,6.0781957733758665,99,0.2,365,10000
57,0.0,0.0,5.9630911190600795,99,0.2,365,10000
58,14.540397948511714,14.288255276559731,6.215233791012062,99,0.2,365,10000
59,3.053269198756943,2.8711001729952796,6.1452601448217425,99,0.2,365,10000
60,10.88198235004526,10.752326984390905,6.092746484714433,99,0.2,365,10000
61,0.0,0.0,5.9630911190600795,99,0.2,365,10000
62,4.518828234445572,4.364376922486766,6.117542431018886,99,0.2,365,10000
63,6.80149341353924,6.143857192860824,6.620727339738495,99,0.2,365,10000
64,0.0,0.0,5.9630911190600795,99,0.2,365,10000
65,0.0,0.0,5.9630911190600795,99,0.2,365,10000
66,0.0,0.0,5.9630911190600795,99,0.2,365,10000
