,Values,Price
0,4.9041060545605255,100
1,5.170699363776099,500
2,4.631241653622282,1000
3,4.826720858071342,5000
4,4.83166257566169,10000
5,4.8393139758772685,50000
6,4.820015515172364,100000
7,4.776375698109549,500000
8,4.771712053613152,1000000
9,4.771714060590183,100
10,4.771789956115554,500
11,4.771593926423136,1000
12,4.771896785599266,5000
13,4.771599463826277,10000
14,4.773285698111464,50000
15,4.771548044078862,100000
16,4.77553100018694,500000
17,4.778893091017918,1000000
18,4.778897696222203,100
19,4.778890470363715,500
20,4.778855624003006,1000
21,4.778895844966779,5000
22,4.778734319131328,10000
23,4.778125426306656,50000
24,4.7781543365563985,100000
25,4.777416842386579,500000
26,4.775770993105498,1000000
27,4.775741917431029,100
28,4.7757720416339415,500
29,4.775750779195053,1000
30,4.7760225194718,5000
31,4.776236063867236,10000
32,4.775901478713211,50000
33,4.776126330630361,100000
34,4.777250100590132,500000
35,4.777166054704194,1000000
36,4.777176548872373,100
37,4.777153290049581,500
38,4.777105066754101,1000
39,4.777130023144728,5000
40,4.777080496415172,10000
41,4.777223430920853,50000
42,4.777021633016167,100000
43,4.778270009452712,500000
44,4.779584527521168,1000000
45,4.779589279029799,100
46,4.779570851307932,500
47,4.779592475411593,1000
48,4.779587963879078,5000
49,4.779414476946215,10000
50,4.779415402106899,50000
51,4.779692050790677,100000
52,4.7795802031242465,500000
53,4.778924326147597,1000000
54,4.7789243503022485,100
55,4.7789186226885665,500
56,4.778916932338042,1000
57,4.778897472140988,5000
58,4.778869336236424,10000
59,4.77870155271562,50000
60,4.778872720715082,100000
61,4.778737009877925,500000
62,4.778858978720926,1000000
63,4.77885247659227,100
64,4.778860372459624,500
65,4.77887488015769,1000
66,4.7789125131548875,5000
67,4.77876535879501,10000
68,4.77870609734652,50000
69,4.778566265214836,100000
70,4.777892218655753,500000
71,4.778280225106928,1000000
72,4.778277730444325,100
73,4.778259236497125,500
74,4.778246361635392,1000
75,4.778195852709472,5000
76,4.77813551201038,10000
77,4.778127804389594,50000
78,4.778483383130284,100000
79,4.778190366028524,500000
80,4.7784951982231165,1000000
81,4.778489826871206,100
82,4.7785074039135305,500
83,4.778482355487814,1000
84,4.778524428027355,5000
85,4.778462498574553,10000
86,4.778519521236706,50000
87,4.77832141579134,100000
88,4.777871233868401,500000
89,4.777533982101703,1000000
90,4.777527817711922,100
91,4.777534872288522,500
92,4.777531476436594,1000
93,4.777540125997111,5000
94,4.77756671460461,10000
95,4.777682353875875,50000
96,4.7778649166418985,100000
97,4.777210181470862,500000
98,4.776531985694865,1000000
99,4.776534308130258,100
100,4.776529703754531,500
101,4.776518645349637,1000
102,4.776563569188604,5000
103,4.776534818906994,10000
104,4.7765837580236985,50000
105,4.7765422078279824,100000
106,4.77716190271846,500000
107,4.777299882997168,1000000
108,4.7773002425031725,100
109,4.777290589003885,500
110,4.7772790760794805,1000
111,4.77731868171411,5000
112,4.777390197167753,10000
113,4.777522468952902,50000
114,4.777586236850005,100000
115,4.777770538772321,500000
116,4.778114186857535,1000000
117,4.778117470208403,100
118,4.778117452427057,500
119,4.778092518867045,1000
120,4.778088465553516,5000
121,4.778034459382264,10000
122,4.777878497884218,50000
123,4.777967400388844,100000
124,4.77793807903656,500000
125,4.777881881756943,1000000
126,4.77787952680319,100
127,4.777872150318813,500
128,4.777880557559755,1000
129,4.777827606232608,5000
130,4.777851497027346,10000
131,4.777854362883624,50000
132,4.777874962280554,100000
133,4.778138426626318,500000
134,4.778428057595968,1000000
135,4.778425479488523,100
136,4.7784393454671505,500
137,4.778434834829917,1000
138,4.778458916158626,5000
139,4.778440194887605,10000
140,4.778396943192655,50000
141,4.77834682518272,100000
142,4.778471445447285,500000
143,4.77866056860663,1000000
144,4.778658292011936,100
145,4.778666660376778,500
146,4.778662099821576,1000
