,Values,Sigma,Mean,Confidence interval,Standard error
0,1.3748008233946578,0.1,1.375,"[1.369, 1.381]",0.003
1,4.780698569826884,0.2,4.781,"[4.765, 4.796]",0.008
2,8.445174200358593,0.30000000000000004,8.445,"[8.421, 8.469]",0.012
3,12.180053890460574,0.4,12.18,"[12.148, 12.212]",0.016
4,15.8625864129577,0.5,15.863,"[15.824, 15.901]",0.019
5,19.561298826482282,0.6,19.561,"[19.517, 19.605]",0.022
6,23.192229437527764,0.7000000000000001,23.192,"[23.143, 23.241]",0.025
7,26.71918376705797,0.8,26.719,"[26.666, 26.772]",0.027
8,30.31891378716899,0.9,30.319,"[30.262, 30.376]",0.029
9,33.72134231801829,1.0,33.721,"[33.661, 33.781]",0.031
